fid,departure_c,departure,destination_c,destination,take_off_time,landing_time,duration,total_seats,available_seats,sell_status,price
KN5717,BJS,Beijing,CKG,Chongqing,1667260800,1667271300,175,144,4,SELLING,379
OQ2107,BJS,Beijing,CKG,Chongqing,1667274000,1667285100,185,180,5,SELLING,516
NS8067,BJS,Beijing,CKG,Chongqing,1667287200,1667304000,280,189,9,SELLING,620
NS8035,BJS,Beijing,CKG,Chongqing,1667260800,1667271300,175,189,9,SELLING,620
CA4138,BJS,Beijing,CKG,Chongqing,1667278800,1667289300,175,189,9,SELLING,734
CA4148,BJS,Beijing,CKG,Chongqing,1667271600,1667282100,175,159,9,SELLING,734
CA1431,BJS,Beijing,CKG,Chongqing,1667260800,1667271300,175,189,7,SELLING,669
CA4132,BJS,Beijing,CKG,Chongqing,1667275200,1667286000,180,189,9,SELLING,734
CA4142,BJS,Beijing,CKG,Chongqing,1667296800,1667307300,175,159,9,SELLING,615
CA1439,BJS,Beijing,CKG,Chongqing,1667282400,1667292900,175,189,9,SELLING,734
CA1429,BJS,Beijing,CKG,Chongqing,1667264400,1667274900,175,189,9,SELLING,734
MF8483,BJS,Beijing,CKG,Chongqing,1667308200,1667319000,180,189,6,SELLING,620
MF7137,BJS,Beijing,CKG,Chongqing,1667287200,1667304000,280,189,9,SELLING,1346
MF7127,BJS,Beijing,CKG,Chongqing,1667260800,1667271300,175,189,9,SELLING,1346
GJ5703,BJS,Beijing,CKG,Chongqing,1667308200,1667319000,180,189,9,SELLING,1260
MU6683,BJS,Beijing,CKG,Chongqing,1667262600,1667273100,175,180,9,SELLING,567
MU6685,BJS,Beijing,CKG,Chongqing,1667287800,1667299200,190,220,9,SELLING,567
MU6687,BJS,Beijing,CKG,Chongqing,1667295000,1667306100,185,262,9,SELLING,567
MU6689,BJS,Beijing,CKG,Chongqing,1667300100,1667312100,200,244,9,SELLING,567
MU6681,BJS,Beijing,CKG,Chongqing,1667257200,1667267700,175,220,9,SELLING,513
HU7267,BJS,Beijing,CKG,Chongqing,1667282100,1667293800,195,189,8,SELLING,674
CZ8817,BJS,Beijing,CKG,Chongqing,1667279400,1667290500,185,189,9,SELLING,1195
CZ4403,BJS,Beijing,CKG,Chongqing,1667308200,1667319000,180,189,9,SELLING,2333
CZ9608,BJS,Beijing,CKG,Chongqing,1667312100,1667323200,185,180,9,SELLING,2008
CZ9604,BJS,Beijing,CKG,Chongqing,1667269500,1667280900,190,167,9,SELLING,2008
CZ9606,BJS,Beijing,CKG,Chongqing,1667292600,1667304000,190,180,9,SELLING,2008
CZ9836,BJS,Beijing,CKG,Chongqing,1667287200,1667304000,280,189,9,SELLING,2767
CZ2607,BJS,Beijing,CKG,Chongqing,1667274000,1667285100,185,180,9,SELLING,1195
CZ9601,BJS,Beijing,CKG,Chongqing,1667258100,1667275500,290,134,9,SELLING,2008
3U8819,BJS,Beijing,CKG,Chongqing,1667258100,1667275500,290,134,9,SELLING,430
3U8834,BJS,Beijing,CKG,Chongqing,1667312100,1667323200,185,180,9,SELLING,495
3U8832,BJS,Beijing,CKG,Chongqing,1667292600,1667304000,190,180,9,SELLING,604
3U8830,BJS,Beijing,CKG,Chongqing,1667269500,1667280900,190,167,9,SELLING,604
MF8469,BJS,Beijing,CTU,Chengdu,1667259900,1667270700,180,189,6,SELLING,913
JD5559,BJS,Beijing,CTU,Chengdu,1667258100,1667270400,205,180,3,SELLING,604
CA4106,BJS,Beijing,CTU,Chengdu,1667305800,1667317200,190,412,9,SELLING,724
CA4116,BJS,Beijing,CTU,Chengdu,1667287800,1667299200,190,179,9,SELLING,995
CA4104,BJS,Beijing,CTU,Chengdu,1667298600,1667310000,190,220,9,SELLING,833
CA4114,BJS,Beijing,CTU,Chengdu,1667277000,1667288400,190,412,4,SELLING,1158
CA4102,BJS,Beijing,CTU,Chengdu,1667280600,1667292000,190,412,9,SELLING,1158
CA4110,BJS,Beijing,CTU,Chengdu,1667302200,1667313600,190,412,9,SELLING,778
CA1425,BJS,Beijing,CTU,Chengdu,1667295000,1667306400,190,340,9,SELLING,995
CA4186,BJS,Beijing,CTU,Chengdu,1667269800,1667281200,190,134,9,SELLING,1436
CA4120,BJS,Beijing,CTU,Chengdu,1667273400,1667284800,190,420,7,SELLING,1158
CA1415,BJS,Beijing,CTU,Chengdu,1667266200,1667277600,190,420,9,SELLING,1158
CA1405,BJS,Beijing,CTU,Chengdu,1667259000,1667270400,190,315,9,SELLING,995
CA1407,BJS,Beijing,CTU,Chengdu,1667291400,1667302800,190,400,1,SELLING,887
CA1421,BJS,Beijing,CTU,Chengdu,1667262600,1667274000,190,340,9,SELLING,1158
CA1401,BJS,Beijing,CTU,Chengdu,1667278800,1667290500,195,315,9,SELLING,1158
CA4108,BJS,Beijing,CTU,Chengdu,1667284200,1667295600,190,220,5,SELLING,1158
NS8001,BJS,Beijing,CTU,Chengdu,1667289600,1667300700,185,189,9,SELLING,1502
MU6641,BJS,Beijing,CTU,Chengdu,1667259900,1667270100,170,220,9,SELLING,1162
MU6643,BJS,Beijing,CTU,Chengdu,1667264400,1667276100,195,262,10,SELLING,802
MU6645,BJS,Beijing,CTU,Chengdu,1667272500,1667283900,190,244,9,SELLING,837
MU6647,BJS,Beijing,CTU,Chengdu,1667289300,1667300700,190,220,9,SELLING,837
MU6649,BJS,Beijing,CTU,Chengdu,1667308500,1667319900,190,262,9,SELLING,837
MU6282,BJS,Beijing,CTU,Chengdu,1667274900,1667286000,185,180,9,SELLING,837
CZ9322,BJS,Beijing,CTU,Chengdu,1667288400,1667300400,200,132,9,SELLING,2062
CZ4389,BJS,Beijing,CTU,Chengdu,1667259900,1667270700,180,189,9,SELLING,1683
CZ9620,BJS,Beijing,CTU,Chengdu,1667274000,1667286300,205,315,9,SELLING,2062
CZ6109,BJS,Beijing,CTU,Chengdu,1667271600,1667282700,185,189,9,SELLING,1444
CZ8847,BJS,Beijing,CTU,Chengdu,1667264400,1667275500,185,180,9,SELLING,1444
CZ8913,BJS,Beijing,CTU,Chengdu,1667293200,1667303700,175,180,9,SELLING,1444
CZ6183,BJS,Beijing,CTU,Chengdu,1667275200,1667286900,195,220,9,SELLING,1444
CZ9626,BJS,Beijing,CTU,Chengdu,1667306400,1667318100,195,315,9,SELLING,2062
CZ9628,BJS,Beijing,CTU,Chengdu,1667308500,1667319900,190,180,9,SELLING,2062
CZ9622,BJS,Beijing,CTU,Chengdu,1667281200,1667293800,210,412,9,SELLING,2062
CZ3903,BJS,Beijing,CTU,Chengdu,1667286000,1667297700,195,180,9,SELLING,1444
CZ9326,BJS,Beijing,CTU,Chengdu,1667270400,1667283300,215,180,9,SELLING,2062
CZ9624,BJS,Beijing,CTU,Chengdu,1667295600,1667308800,220,174,9,SELLING,2062
CZ9324,BJS,Beijing,CTU,Chengdu,1667258100,1667269500,190,180,9,SELLING,2062
GJ5689,BJS,Beijing,CTU,Chengdu,1667259900,1667270700,180,189,9,SELLING,1401
3U6878,BJS,Beijing,CTU,Chengdu,1667270400,1667283300,215,180,9,SELLING,945
3U6868,BJS,Beijing,CTU,Chengdu,1667288400,1667300400,200,132,9,SELLING,729
3U8890,BJS,Beijing,CTU,Chengdu,1667295600,1667308800,220,174,9,SELLING,929
3U8896,BJS,Beijing,CTU,Chengdu,1667308500,1667319900,190,180,9,SELLING,712
